hjd,camera,mag,mag_err,flux,flux_err
2457672.70929,ba,10.813,0.02,181.441,3.339
2457303.92983,bb,11.034,0.02,146.802,2.701
2457304.91799,ba,11.114,0.02,137.527,2.53
2458285.08253,ba,11.063,0.02,144.135,2.652
2456482.08025,bb,10.415,0.02,259.575,4.776
2456885.95713,bb,11.081,0.02,140.518,2.586
2456970.80207,ba,11.04,0.02,147.163,2.708
2457212.09154,ba,10.936,0.02,161.972,2.98
2457914.01144,bb,11.062,0.02,143.078,2.633
2456884.95646,ba,10.954,0.02,159.402,2.933
2457244.92276,bb,11.085,0.02,140.038,2.577
2457524.08818,bb,11.035,0.02,146.66,2.699
2458020.91277,ba,10.931,0.02,162.736,2.994
2458372.93589,ba,10.661,0.02,208.645,3.839
2457151.11032,bb,11.057,0.02,143.769,2.645
2457342.79699,ba,10.965,0.02,157.794,2.903
2458347.95258,ba,11.07,0.02,143.141,2.634
2456889.0727,bb,11.047,0.02,145.063,2.669
2457205.94985,ba,10.675,0.02,205.982,3.79
2458282.01143,ba,11.126,0.02,135.97,2.502
2456462.02901,bb,11.02,0.02,148.709,2.736
2458347.95267,bb,11.056,0.02,143.898,2.648
2458392.88551,ba,10.654,0.02,210.039,3.865
2457330.85554,bb,11.074,0.02,141.44,2.602
2457637.84777,bb,10.567,0.02,225.661,4.152
2456464.969,bb,11.077,0.02,141.052,2.595
2457366.72711,bb,10.886,0.02,168.309,3.097
2457197.00228,ba,11.11,0.02,138.02,2.54
2458034.74246,ba,11.018,0.02,150.157,2.763
2458004.99563,ba,10.599,0.02,221.052,4.067
2457004.7399,bb,11.039,0.02,146.117,2.689
2456866.98372,ba,10.718,0.02,197.989,3.643
2457246.99579,bb,11.072,0.02,141.787,2.609
2456902.92181,ba,11.076,0.02,142.454,2.621
2456883.9041,ba,10.562,0.02,228.603,4.206
2458378.87366,ba,11.087,0.02,140.926,2.593
2456556.7618,ba,11.049,0.02,145.969,2.686
2457950.12776,ba,10.778,0.02,187.325,3.447
2457983.01716,bb,10.433,0.02,255.285,4.697
2456883.9042,bb,10.588,0.02,221.384,4.073
2457191.0746,ba,11.082,0.02,141.668,2.607
2457284.96513,bb,11.239,0.02,121.565,2.237
2457501.12143,bb,10.58,0.02,222.918,4.102
2457678.81308,ba,10.801,0.02,183.375,3.374
2457241.03684,ba,10.489,0.02,244.559,4.5
2457574.09007,ba,11.131,0.02,135.319,2.49
2457314.71676,bb,10.891,0.02,167.481,3.082
2458292.98052,ba,10.842,0.02,176.597,3.249
2457200.99401,ba,10.421,0.02,260.358,4.791
2457498.13188,bb,10.551,0.02,228.987,4.213
2457361.75299,bb,11.086,0.02,139.967,2.575
2458416.8658,ba,11.063,0.02,144.179,2.653
2457660.95645,ba,11.108,0.02,138.268,2.544
2457221.94358,ba,10.854,0.02,174.66,3.214
2458434.81852,bb,10.511,0.02,237.71,4.374
2457966.96456,bb,10.511,0.02,237.609,4.372
2457151.10997,ba,11.034,0.02,148.042,2.724
2457681.89223,bb,11.059,0.02,143.413,2.639
2457686.87828,ba,11.0,0.02,152.665,2.809
2456829.04012,ba,10.877,0.02,171.123,3.149
2458034.74223,bb,11.084,0.02,140.209,2.58
2457524.08781,ba,11.021,0.02,149.855,2.757
2457364.74599,ba,11.025,0.02,149.292,2.747
2457515.09948,bb,10.551,0.02,229.077,4.215
2457298.8769,ba,11.077,0.02,142.239,2.617
2456487.96023,bb,10.939,0.02,160.199,2.948
2456900.92011,bb,10.812,0.02,180.04,3.313
2456785.08598,bb,10.713,0.02,197.379,3.632
2457978.08455,bb,10.839,0.02,175.724,3.233
2456865.98688,bb,11.042,0.02,145.674,2.68
2457244.92262,ba,11.065,0.02,143.813,2.646
2457229.88779,bb,11.0,0.02,151.413,2.786
2456531.93642,ba,11.04,0.02,147.227,2.709
2458079.7884,bb,11.031,0.02,147.221,2.709
2457499.12847,bb,11.149,0.02,131.988,2.429
2457551.00923,bb,11.06,0.02,143.345,2.638
2457581.02837,ba,10.771,0.02,188.526,3.469
2456506.96851,bb,11.064,0.02,142.817,2.628
2457248.94451,ba,11.081,0.02,141.797,2.609
2456575.76073,bb,11.058,0.02,143.521,2.641
2456819.04052,bb,11.04,0.02,146.006,2.687
2456986.77243,bb,11.009,0.02,150.214,2.764
2456922.89604,bb,10.628,0.02,213.441,3.927
2456592.82563,ba,10.861,0.02,173.581,3.194
2457284.96525,ba,11.245,0.02,121.863,2.242
2457695.85754,ba,11.053,0.02,145.483,2.677
2456823.04179,ba,10.382,0.02,269.739,4.963
2457954.05793,bb,11.12,0.02,135.569,2.494
2458322.01175,bb,11.007,0.02,150.423,2.768
2457978.08444,ba,10.868,0.02,172.459,3.173
2457275.99909,ba,11.113,0.02,137.587,2.532
2457317.78555,ba,11.173,0.02,130.25,2.397
2457333.84446,bb,11.109,0.02,137.012,2.521
2457501.12113,ba,10.536,0.02,234.217,4.31
2457668.92298,ba,10.789,0.02,185.437,3.412
2456888.08417,ba,11.081,0.02,141.798,2.609
2458296.97334,ba,11.135,0.02,134.886,2.482
2457585.90965,bb,10.75,0.02,190.73,3.509
2458246.10295,bb,10.851,0.02,173.7,3.196
2456847.00908,ba,11.068,0.02,143.46,2.64
2457513.12234,bb,11.096,0.02,138.685,2.552
2457150.10109,ba,10.874,0.02,171.47,3.155
2458013.98265,ba,11.009,0.02,151.435,2.786
2457271.98778,ba,10.703,0.02,200.691,3.693
2456819.04015,ba,11.0,0.02,152.744,2.81
2457983.01708,ba,10.455,0.02,252.187,4.64
2457213.04924,ba,11.056,0.02,145.01,2.668
2457323.74633,bb,10.613,0.02,216.276,3.979
2457896.0989,bb,10.497,0.02,240.675,4.428
2457304.91776,bb,11.052,0.02,144.391,2.657
2457886.08242,ba,10.569,0.02,227.059,4.178
2457601.02085,bb,11.146,0.02,132.388,2.436
2457227.0292,bb,11.095,0.02,138.749,2.553
2456922.89618,ba,10.6,0.02,220.84,4.063
2458026.76309,ba,11.121,0.02,136.61,2.514
2457309.84108,bb,10.944,0.02,159.55,2.936
