Name                              hjd               lambda_V	V	lambda_R	R	lambda_I	I	V/R
BS4912_20210519_3750_7900.fits	 2459354.62519056  6561.259	1.127	6563.172	1.390	6562.367	0.594	0.810
BS4912_20210520_3750_7900.fits	 2459355.57698066  6561.095	1.096	6563.116	1.318	6562.308	0.579	0.831
BS4912_20210521_3750_7900.fits	 2459356.56051774  6561.025	1.119	6563.139	1.326	6562.334	0.590	0.844
BS4912_20210617_3750_7900.fits	 2459383.55096591  6561.076	1.059	6563.272	1.048	6562.274	0.435	1.010
BS4912_20220126_3750_7900.fits	 2459606.85524911  6561.496	1.200	6563.603	0.976	6562.901	0.721	1.230
BS4912_20220208_3750_7900.fits	 2459619.8226753  6561.493	1.210	6563.406	1.026	6562.198	0.739	1.179
BS4912_20220214_3750_7900.fits	 2459625.78964132  6561.508	1.279	6563.410	1.063	6562.209	0.781	1.202
BS4912_20220301_3750_7900.fits	 2459640.80110475  6561.596	1.296	6563.307	1.072	6562.401	0.806	1.209
BS4912_20220313_3750_7900.fits	 2459652.72813095  6561.651	1.318	6563.255	1.038	6562.353	0.790	1.269
BS4912_20220326_3750_7900.fits	 2459665.72572471  6561.649	1.345	6563.559	1.046	6562.453	0.749	1.286
BS4912_20220517_3750_7900.fits	 2459717.59670265  6561.712	1.567	6567.902	0.960	6564.008	0.850	1.633
BS4912_20230320_3750_7900.fits	 2460024.71704003  6561.758	1.794	6563.071	1.017	6562.566	0.898	1.764
BS4912_20230323_3750_7900.fits	 2460027.71787989  6561.811	1.830	6563.117	1.031	6562.614	0.918	1.775
BS4912_20230327_3750_7900.fits	 2460031.70404432  6561.764	1.839	6562.972	1.055	6562.670	1.001	1.742
BS4912_20230401_3750_7900.fits	 2460036.70449788  6561.853	1.804	6567.486	0.965	6564.368	0.904	1.870
BS4912_20230404_3750_7900.fits	 2460039.68540934  6561.853	1.784	6567.486	0.959	6564.267	0.824	1.860
BS4912_20230502_3750_7900.fits	 2460067.61028626  6561.811	1.849	6563.117	1.327	6562.614	1.093	1.393
BS4912_20230505_3750_7900.fits	 2460070.64055839  6561.763	1.891	6563.072	1.359	6562.569	1.114	1.392
BS4912_20230506_3750_7900.fits	 2460071.63570752  6561.753	1.806	6563.161	1.310	6562.557	1.080	1.379
BS4912_20230521_3750_7900.fits	 2460086.60899753  6561.811	1.990	6563.016	1.482	6562.514	1.210	1.343
BS4912_20240202_3750_7900.fits	 2460343.84446316  6561.782	1.409	6563.393	1.030	6562.588	0.871	1.368
BS4912_20240207_3750_7900.fits	 2460348.80129976  6561.812	1.342	6563.329	1.034	6562.621	0.830	1.298
BS4912_20240214_3750_7900.fits	 2460355.81084719  6561.759	1.347	6563.273	1.065	6562.566	0.820	1.265
BS4912_20240311_3750_7900.fits	 2460381.75926016  6561.716	1.477	6563.128	1.209	6562.522	0.880	1.222
BS4912_20240320_3750_7900.fits	 2460390.74024418  6561.638	1.466	6563.151	1.170	6562.445	0.838	1.253
BS4912_20240401_3750_7900.fits	 2460402.66637872  6561.707	1.423	6563.216	1.066	6562.512	0.748	1.335
BS4912_20250216_3750_7900.fits	 2460723.79637523  6561.522	1.300	6563.436	1.026	6562.529	0.609	1.266
BS4912_20250220_3750_7900.fits	 2460727.79647323  6561.512	1.371	6563.424	1.048	6562.518	0.612	1.307
BS4912_20250224_3750_7900.fits	 2460731.7878834  6561.587	1.356	6563.400	1.047	6562.493	0.622	1.295
BS4912_20250225_3750_7900.fits	 2460732.76636263  6561.594	1.380	6563.409	1.047	6562.502	0.622	1.318
BS4912_20250306_3750_7900.fits	 2460741.7528001  6561.547	1.461	6563.330	1.024	6562.538	0.672	1.426
BS4912_20250322_3750_7900.fits	 2460757.69696668  6561.676	1.474	6563.880	0.915	6562.578	0.616	1.611
BS4912_20250326_3750_7900.fits	 2460761.70845377  6561.690	1.468	6563.797	0.911	6562.593	0.618	1.610
BS4912_20250404_3750_7900.fits	 2460770.66694441  6561.761	1.496	6567.381	0.973	6562.764	0.653	1.537
BS4912_20250408_3750_7900.fits	 2460774.6813201  6561.716	1.597	6567.485	0.977	6562.810	0.742	1.634
BS4912_20250409_3750_7900.fits	 2460775.6830406  6561.694	1.592	6567.294	0.979	6562.694	0.756	1.626
BS4912_20250412_3750_7900.fits	 2460778.66757492  6561.787	1.612	6563.603	0.983	6562.796	0.832	1.640
BS4912_20250414_3750_7900.fits	 2460780.67421283  6561.709	1.613	6567.354	0.987	6564.229	0.837	1.634
BS4912_20250415_3750_7900.fits	 2460781.67172496  6561.768	1.617	6563.575	1.026	6562.671	0.886	1.576
BS4912_20250416_3750_7900.fits	 2460782.66618472  6561.727	1.611	6563.532	1.031	6562.629	0.902	1.563
BS4912_20250418_3750_7900.fits	 2460784.69141678  6561.768	1.640	6563.385	1.048	6562.678	0.941	1.565
BS4912_20250420_3750_7900.fits	 2460786.65439774  6561.709	1.643	6563.216	1.055	6562.613	0.989	1.558
BS4912_20250421_3750_7900.fits	 2460787.66684738  6561.711	1.621	6563.123	1.062	6562.619	0.983	1.526
BS4912_20250423_3750_7900.fits	 2460789.64244122  6561.769	1.629	6563.075	1.097	6562.573	1.000	1.485
BS4912_20250427_3750_7900.fits	 2460793.65958154  6561.803	1.611	6563.214	1.160	6562.609	1.025	1.389
BS4912_20250428_3750_7900.fits	 2460794.64471773  6561.775	1.577	6563.190	1.131	6562.584	1.004	1.394
BS4912_20250501_3750_7900.fits	 2460797.63834833  6561.777	1.588	6563.070	1.157	6562.573	1.005	1.373
BS4912_20250504_3750_7900.fits	 2460800.66053774  6561.771	1.550	6563.177	1.192	6562.575	0.996	1.300
BS4912_20250505_3750_7900.fits	 2460801.62338902  6561.803	1.590	6563.205	1.233	6562.504	1.022	1.290
BS4912_20250506_3750_7900.fits	 2460802.61926971  6561.746	1.544	6563.148	1.208	6562.547	0.996	1.278
BS4912_20250509_3750_7900.fits	 2460805.58518072  6561.747	1.535	6563.149	1.230	6562.548	0.985	1.248
BS4912_20250513_3750_7900.fits	 2460809.57690143  6557.266	0.814	6567.875	0.836	6562.771	0.372	0.973
BS4912_20250514_3750_7900.fits	 2460810.64974963  6561.779	1.499	6563.086	1.215	6562.483	0.970	1.233
BS4912_20250515_3750_7900.fits	 2460811.60341095  6561.669	1.492	6563.070	1.247	6562.469	0.974	1.196
BS4912_20250517_3750_7900.fits	 2460813.60325306  6561.693	1.517	6563.102	1.294	6562.498	0.989	1.172
BS4912_20250518_3750_7900.fits	 2460814.59029132  6561.681	1.514	6563.093	1.290	6562.488	0.981	1.173
BS4912_20250521_3750_7900.fits	 2460817.59229269  6561.601	1.581	6563.107	1.303	6562.404	1.004	1.214
BS4912_20250522_3750_7900.fits	 2460818.55403523  6561.675	1.530	6563.081	1.341	6562.478	0.992	1.141
BS4912_20250523_3750_7900.fits	 2460819.63279482  6561.738	1.527	6563.144	1.351	6562.441	0.992	1.130
BS4912_20250528_3750_7900.fits	 2460824.64013743  6561.695	1.510	6563.008	1.269	6562.402	0.974	1.190
BS4912_20250530_3750_7900.fits	 2460826.58951643  6561.742	1.591	6563.048	1.358	6562.446	1.024	1.172
BS4912_20250531_3750_7900.fits	 2460827.55204038  6561.681	1.595	6563.088	1.366	6562.385	1.021	1.168
BS4912_20250601_3750_7900.fits	 2460828.57561413  6561.635	1.567	6563.054	1.301	6562.446	0.994	1.205
BS4912_20250602_3750_7900.fits	 2460829.55834645  6561.724	1.639	6563.032	1.405	6562.429	1.053	1.166
BS4912_20250603_3750_7900.fits	 2460830.5546863  6561.740	1.610	6563.049	1.361	6562.445	1.045	1.183
BS4912_20250611_3750_7900.fits	 2460838.55064251  6561.683	1.650	6562.998	1.287	6562.391	1.046	1.283
BS4912_20250618_3750_7900.fits	 2460845.55226001  6561.641	1.554	6562.947	1.117	6562.445	0.994	1.392
BS4912_20260101_3750_8500.fits	 2461042.87115696  6561.445	1.367	6563.657	0.978	6562.350	0.415	1.398
BS4912_20260103_3750_7900.fits	 2461044.86538733  6561.533	1.358	6563.641	0.957	6562.436	0.407	1.419
BS4912_20260104_3750_7900.fits	 2461045.8632337  6561.475	1.347	6563.592	0.936	6562.382	0.399	1.439
BS4912_20260105_3750_7900.fits	 2461046.85757122  6561.503	1.345	6566.356	0.936	6562.413	0.404	1.437
BS4912_20260106_3750_7900.fits	 2461047.85779793  6561.474	1.365	6563.590	0.940	6562.381	0.415	1.452
BS4912_20260107_3750_7900.fits	 2461048.8607411  6561.555	1.372	6563.675	0.949	6562.363	0.413	1.445
BS4912_20260111_3750_7900.fits	 2461052.84500294  6561.500	1.438	6563.716	0.941	6562.407	0.412	1.528
