JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera,Trend,Residual
2456221.7937057,142.7508,0.2415,11.0733,0.0018,16.2549,2.24,V,G,ba,11.06475,0.008549999999999613
2456221.7937057,142.1125,0.2247,11.0782,0.0017,16.3336,1.78,V,G,bb,11.0576,0.02059999999999995
2456230.7618489,139.426,0.2882,11.0989,0.0022,16.0632,2.03,V,G,bb,11.0457,0.05320000000000036
2456230.7618489,142.9412,0.2565,11.0719,0.002,16.1894,2.29,V,G,ba,11.0338,0.03810000000000002
2456232.8233205,144.8334,0.2136,11.0576,0.0016,16.3882,1.76,V,G,bb,10.98165,0.07595000000000063
2456232.8233205,148.0455,0.2106,11.0338,0.0015,16.4037,2.32,V,G,ba,10.9295,0.1042999999999985
2456234.888271,170.6572,0.1562,10.8795,0.001,16.7283,2.2,V,G,ba,10.98165,-0.10214999999999996
2456238.7285,196.7199,0.3028,10.7252,0.0017,16.0095,2.28,V,G,ba,11.0338,-0.3086000000000002
2456240.8590545,237.257,0.4623,10.5217,0.0021,15.55,2.08,V,B,ba,10.9295,-0.4078000000000017
2456240.8606932,232.8189,0.4093,10.5422,0.0019,15.6822,2.21,V,G,bb,10.8795,-0.3373000000000008
2456240.860754,162.9724,0.0754,10.9295,0.0005,17.5189,2.04,V,G,ba,10.8795,0.05000000000000071
2456243.8503224,231.5403,0.4004,10.5482,0.0019,15.7061,2.11,V,G,bb,10.8795,-0.3313000000000006
2456243.8503224,234.0933,0.4384,10.5363,0.002,15.6078,2.02,V,G,ba,10.8127,-0.27639999999999887
2456257.8121917,142.3762,0.2664,11.0762,0.002,16.1486,2.06,V,G,ba,10.8031,0.27309999999999945
2456257.81378,145.8176,0.2679,11.0503,0.002,16.1425,2.05,V,B,bb,10.7617,0.28860000000000063
2456276.7610798,181.4822,0.2206,10.8127,0.0013,16.3536,2.09,V,G,bb,10.793,0.019700000000000273
2456276.7610798,183.0977,0.2396,10.8031,0.0014,16.2636,2.26,V,G,ba,10.8031,0.0
2456407.1203683,156.7904,0.1516,10.9715,0.0011,16.7603,2.06,V,G,bb,10.8127,0.15880000000000116
2456407.120373,159.0375,0.1535,10.956,0.001,16.7469,2.05,V,G,ba,10.8127,0.14329999999999998
2456410.1180084,252.3174,0.5199,10.4549,0.0022,15.4225,2.25,V,G,ba,10.8127,-0.35779999999999923
2456410.1180084,248.5391,0.4673,10.4713,0.002,15.5384,2.01,V,G,bb,10.8127,-0.34140000000000015
2456416.1128093,190.209,0.2966,10.7617,0.0017,16.0321,2.27,V,G,ba,10.8127,-0.051000000000000156
2456416.1128161,184.8059,0.248,10.793,0.0015,16.2261,2.04,V,G,bb,10.8127,-0.019700000000000273
2456438.0439837,143.0321,0.2856,11.0712,0.0022,16.0728,2.49,V,G,ba,10.956,0.11519999999999975
2456447.0092613,152.3842,0.1989,11.0024,0.0014,16.4656,3.07,V,B,ba,10.9715,0.03089999999999904
2456447.0092613,146.7268,0.2089,11.0435,0.0015,16.4125,1.72,V,B,bb,11.0024,0.041100000000000136
2456449.0626895,235.5225,0.4156,10.5297,0.0019,15.6656,2.06,V,G,bb,11.0435,-0.5137999999999998
2456449.0626942,239.3805,0.4561,10.5121,0.0021,15.5646,2.06,V,G,ba,11.0648,-0.5526999999999997
2456452.0354126,142.5848,0.2245,11.0746,0.0017,16.3345,1.69,V,G,bb,11.0712,0.003400000000000958
2456452.0354126,141.1592,0.2493,11.0855,0.0019,16.2205,2.13,V,G,ba,11.0714,0.014099999999999113
2456460.0270415,136.6729,0.2484,11.1206,0.002,16.2244,1.78,V,G,bb,11.0746,0.045999999999999375
2456460.0270415,142.4971,0.243,11.0753,0.0019,16.2482,2.07,V,G,ba,11.0753,0.0
2456462.0272794,143.8737,0.235,11.0648,0.0018,16.2848,1.78,V,G,ba,11.0753,-0.010500000000000398
2456462.027284,143.0013,0.22,11.0714,0.0017,16.3565,1.73,V,G,bb,11.0753,-0.0038999999999997925
2456464.9670064,138.9408,0.2796,11.1027,0.0022,16.096,1.91,V,G,bb,11.0753,0.02740000000000009
2456464.9670064,135.1656,0.2984,11.1326,0.0024,16.0253,1.76,V,G,ba,11.0753,0.057299999999999685
2456468.025243,140.2169,0.273,11.0928,0.0021,16.122,1.84,V,B,bb,11.0753,0.01750000000000007
2456468.025243,141.1584,0.3285,11.0855,0.0025,15.921,1.8,V,B,ba,11.0727,0.012800000000000367
2456472.9643642,136.1771,0.2597,11.1245,0.0021,16.1763,2.01,V,G,bb,11.0717,0.052799999999999514
