Name,JD,lambda_V,V,lambda_R,R,lambda_I,I,Mag,Signal Label,Original Signal Column,Trend,Residual
BS4912_20210519_3750_7900.fits,2459354.62519056,6561.259,1.127,6563.172,1.39,6562.367,0.594,0.81,V/R,V/R,1.0945,-0.2845
BS4912_20210520_3750_7900.fits,2459355.57698066,6561.095,1.096,6563.116,1.318,6562.308,0.579,0.831,V/R,V/R,1.179,-0.3480000000000001
BS4912_20210521_3750_7900.fits,2459356.56051774,6561.025,1.119,6563.139,1.326,6562.334,0.59,0.844,V/R,V/R,1.1905000000000001,-0.34650000000000014
BS4912_20210617_3750_7900.fits,2459383.55096591,6561.076,1.059,6563.272,1.048,6562.274,0.435,1.01,V/R,V/R,1.202,-0.19199999999999995
BS4912_20220517_3750_7900.fits,2459717.59670265,6561.712,1.567,6567.902,0.96,6564.008,0.85,1.633,V/R,V/R,1.392,0.2410000000000001
BS4912_20230320_3750_7900.fits,2460024.71704003,6561.758,1.794,6563.071,1.017,6562.566,0.898,1.764,V/R,V/R,1.392,0.3720000000000001
BS4912_20230323_3750_7900.fits,2460027.71787989,6561.811,1.83,6563.117,1.031,6562.614,0.918,1.775,V/R,V/R,1.392,0.383
BS4912_20230327_3750_7900.fits,2460031.70404432,6561.764,1.839,6562.972,1.055,6562.67,1.001,1.742,V/R,V/R,1.392,0.3500000000000001
BS4912_20230401_3750_7900.fits,2460036.70449788,6561.853,1.804,6567.486,0.965,6564.368,0.904,1.87,V/R,V/R,1.392,0.4780000000000002
BS4912_20230404_3750_7900.fits,2460039.68540934,6561.853,1.784,6567.486,0.959,6564.267,0.824,1.86,V/R,V/R,1.392,0.4680000000000002
BS4912_20240311_3750_7900.fits,2460381.75926016,6561.716,1.477,6563.128,1.209,6562.522,0.88,1.222,V/R,V/R,1.318,-0.09600000000000009
BS4912_20250513_3750_7900.fits,2460809.57690143,6557.266,0.814,6567.875,0.836,6562.771,0.372,0.973,V/R,V/R,1.233,-0.2600000000000001
BS4912_20260111_3750_7900.fits,2461052.84500294,6561.5,1.438,6563.716,0.941,6562.407,0.412,1.528,V/R,V/R,1.4380000000000002,0.08999999999999986
